NOUN	Living_Animate_Entity	Natural_Object	Manufactured_Object	Informational_Object	Dynamic_situation	Stative_situation
érosion	0.9905230324303926	0.7655438449464935	0.9493789080297422	0.9545310508959662	0.06530326220799824	0.035551428813646674
dépannage	0.4683951313024685	0.9886303761887476	0.4847784433724747	0.8930612364261792	0.04165420700162097	0.9721212957136676
aventurier	0.032716709790132845	0.894179453365346	0.9423900961601969	0.966907718155731	0.9711314436259924	0.9363462883666313
localité	0.9732235878027894	0.516917757214626	0.5326124423852177	0.6772823952875094	0.9501036545964103	0.4358087865526337
archéologue	0.021112379093974693	0.9615605056952473	0.963305804580174	0.9573533166342849	0.9739941266670147	0.9804521416640514
concepteur	0.019915395039524317	0.9869744170824868	0.9440524405845486	0.7955712715298101	0.8103528780521676	0.9799692291871522
radioactivité	0.98989152803649	0.42684353435875105	0.9369661110828713	0.685865038692053	0.0637174448415128	0.05026639767648081
cristal	0.7985669709813563	0.13062219826734858	0.19583102951571527	0.9446671889292285	0.8434965582113193	0.9769938586408078
crise	0.9854868383359189	0.9399238444613189	0.973242661985529	0.6653237091464207	0.2447242457428212	0.13349393834442094
aquarium	0.5466268768210059	0.2505869079093214	0.1472784912998476	0.976992814507785	0.9556955128668798	0.9637121883931498
loup	0.044576050306323986	0.46428786209345524	0.8354838195840716	0.9570981572456976	0.9444351050402651	0.9721418245474035
octet	0.6028899251595436	0.9445096248810068	0.5333128331889969	0.042677383401830776	0.9701539295968974	0.9795996168247173
urne	0.9840675050389154	0.8085459424451368	0.48479589163424447	0.4543259522502456	0.9575873131310018	0.22351449580188526
fierté	0.9723578455350926	0.8961493058255244	0.9465026659260615	0.9292263020047441	0.938299366035984	0.018387069000009647
témoignage	0.3836737071466544	0.9789033141362953	0.957420743843478	0.29467122994782435	0.837324480514629	0.9733863379838475
trottoir	0.46012766655061965	0.5245468678002454	0.03714870863470167	0.9710608023624434	0.9063261372187624	0.9746927819378113
fatalité	0.9756040286328728	0.9434547659609589	0.9628081950691333	0.46118021781974194	0.8463489570601842	0.031571631530216825
façade	0.980967285544771	0.4617758499550987	0.07537495988544876	0.9365645067499228	0.8792876100674409	0.22901217395284995
songe	0.31954028123252104	0.4866644927048846	0.7427969639447565	0.7726865498504484	0.9344163511651189	0.9300283891935349
sécheresse	0.9867701260389127	0.4308762083336225	0.9674409896859734	0.9525385757929975	0.22572427764307826	0.03896058584743001
gazette	0.9725391989310185	0.9365677921284101	0.9088347477886584	0.17019199710444582	0.8882764699562191	0.4252777877785378
associé	0.02016115842169005	0.9814914964065886	0.964189195762309	0.5495835385646041	0.9587822317838538	0.9832428922419785
initiateur	0.03640857936446183	0.9829071776784031	0.977213345337798	0.8716507313352558	0.8676396322551543	0.9706610294098408
arôme	0.8031651707142182	0.0748293597471156	0.39553175652273154	0.9592288733322766	0.964031674202217	0.9687440828724174
génération	0.9284236019742426	0.9312971965022979	0.9031782664193244	0.631795105117789	0.736432531392367	0.47593394686062584
chevalier	0.029954331955026947	0.8459220709385251	0.8196321938201234	0.938320432999567	0.9596413221450717	0.9738594225984646
explorateur	0.1844254994130721	0.9446792647005716	0.7924659425875258	0.8991128470565236	0.8772500632755411	0.9573429925025095
singe	0.057980881119213894	0.2684249840843249	0.6561910506003185	0.9610200245996656	0.9619993514516788	0.9768400453555642
introduction	0.9836372805845564	0.979702320293464	0.9695058722350548	0.30298615984691024	0.2905650613984451	0.08483043097500308
horizon	0.7205483097033862	0.8650841196619159	0.904107754552877	0.8462518017503186	0.9223385445617642	0.7665130263505322
vétérinaire	0.03035767510698042	0.9630833801228752	0.9586390382874077	0.9320393926370684	0.8802651674743838	0.9775119945014469
selle	0.968520771337084	0.17685384096552298	0.1254035149336295	0.9106778584166096	0.8948978363873791	0.4976568303123123
fonctionnaire	0.01784399416411917	0.9898767024286607	0.9798013042317388	0.7910052705395375	0.9638157129772634	0.9863983724818899
ballon	0.7089161933080685	0.6161310653443718	0.17511293533033562	0.9515234654853686	0.6888484219517598	0.965697781842064
nitrate	0.8478328710404298	0.400332903608471	0.7403247927121909	0.9197260783091348	0.48641503149434495	0.9733060711837361
dessus	0.8947567375934811	0.33142999503191134	0.16446606788970108	0.7069269823061909	0.6054103523563348	0.8706552253848798
habit	0.544348717280447	0.7026243232333163	0.12063501812547098	0.9507812373684422	0.9561200711729813	0.9623752360934088
gestion	0.9740660948849983	0.9892089753102463	0.9648456883945733	0.4689367588138535	0.03553511522055037	0.44207076315191596
lycéen	0.014596235571620418	0.982394332038301	0.9741041618414638	0.9496641294980774	0.9651214377992575	0.977092098736682
flotte	0.955226216492605	0.8508388856083181	0.32626038726769896	0.8485056179834589	0.38683149060776856	0.5557829177844718
serpent	0.10015828002702862	0.24884437717464186	0.4071283552523598	0.9559786205268413	0.9357694903035444	0.9757067755082214
père	0.02411605252769209	0.88622194574805	0.9563018476585555	0.9436774587144101	0.9036067290262928	0.9571995514303763
vecteur	0.6459123491215165	0.9357922094185684	0.8711579707741066	0.4074989209029856	0.7321651613866259	0.9704673421304033
fête	0.9729777253112128	0.8310413546095137	0.9047985951039169	0.6452705771239386	0.5832505090679926	0.25435169689666026
hôtel	0.44735882446526043	0.8644854281839959	0.20134688465154582	0.9706595055122879	0.8197308328623986	0.9404278364664986
plaisir	0.5401551564849936	0.8140473167818182	0.9359817276622405	0.8322456636670537	0.9000762872658614	0.2719328226851184
préhistoire	0.9784791212832379	0.72286905598446	0.9360138139847285	0.57990094802061	0.6549976295286883	0.26482573420640027
kiosque	0.5450168905331532	0.9429764163061007	0.21638557328856156	0.8265936270849181	0.891947152080453	0.9647467151173453
arbuste	0.7337070177368497	0.017032361469144153	0.783015698667975	0.9714559143486557	0.9816039703480589	0.967180916002079
cause	0.977188115120103	0.9365134715567947	0.9246492731068657	0.24813487127501077	0.5732000410182184	0.057748043769378914
dessin	0.5736641264448653	0.9389206309472159	0.7327076816299176	0.2906010053917333	0.8139592473949364	0.9789217878906467
bâtiment	0.44786356531836224	0.9309750694806025	0.1134831371959703	0.924048373573436	0.7310911209929917	0.981327378111992
prêt	0.5292929454168542	0.9885293484784201	0.8494112153837414	0.37120958001807786	0.13895468340763067	0.9833380676067269
bombardement	0.749867423681401	0.963039064235161	0.8819925833436857	0.9569453562281933	0.16894530035340102	0.9820359892405071
yaourt	0.5890542882801757	0.038450752661075366	0.10539324148307742	0.9808374218023805	0.8896068408074735	0.9774911217193899
nomenclature	0.9843456483495902	0.9797334954013412	0.9485637787196406	0.042503982618833216	0.6556090842823712	0.7026389103434515
opposant	0.028791690594938534	0.9813347600364462	0.9594114098070919	0.8870308112162397	0.9389097609486103	0.9671550059232643
sensation	0.9808696851064409	0.45463471950716305	0.8647088835788055	0.42262277271639903	0.9243291442026527	0.04008011744811246
purée	0.9877494533077604	0.01613975990962483	0.0669461722895479	0.9704613122867967	0.8827269167688381	0.8724633886236636
moto	0.9502428776119994	0.8400060818668603	0.08200559869695584	0.9449350534803644	0.7234522632297475	0.46261753923827464
processeur	0.3828483643084454	0.9625265091968297	0.2490210167855073	0.23448218410611443	0.6216057139853934	0.9749366035807608
parrainage	0.4609361683660699	0.9857492137149532	0.9486738228749056	0.7615597593120594	0.1818559376241309	0.9759838775791992
artifice	0.7107389154571062	0.7034716401656431	0.46222371294515713	0.8226879173459997	0.9687329300310705	0.780548559856938
étage	0.6754702007370332	0.8839835056630213	0.10448244329277248	0.9460931217328803	0.9634479749999736	0.8489706005846425
sieste	0.9778415364342726	0.489440916405874	0.7349831302079964	0.942659629718042	0.6379261998447521	0.06931418502204133
consistance	0.9827800623235651	0.6321392328530807	0.8118811855860079	0.47278361567211674	0.8192338952371123	0.05980357897457072
médecin	0.013238813061932827	0.9835023946406466	0.9661700539605146	0.8553578678526542	0.9332045707112051	0.9830693119703081
sous-titre	0.6240309596985393	0.9753829218916796	0.9007849525961604	0.06568357196333582	0.9170478414669692	0.9685121770586237
vendredi	0.5982336127730142	0.9813852505400326	0.991144306167874	0.7235597689994683	0.9934767748590972	0.017633923305408937
ambre	0.7513882983867387	0.06259456512110222	0.39670597745363023	0.9736300932180518	0.9736511603411806	0.8763022111981877
oie	0.9021659478652554	0.19456024562917135	0.7074852845877865	0.9622175324781248	0.9641973571954435	0.5433497874472496
marchand	0.020254253874358197	0.9191696761818327	0.6873095622310184	0.9539415905799633	0.9272140104233642	0.9842527529394028
bière	0.9802268966483124	0.1858104051161544	0.1973830499004883	0.9331752626103704	0.8467609425709669	0.4951236965816602
trahison	0.9790123213784423	0.947780007475686	0.9741689566211775	0.8545837339306002	0.5318963263767653	0.025348533107752078
spéculation	0.9863133871296206	0.9592644880876724	0.9634282113890004	0.12936604891594916	0.4982373085709721	0.2469853259397768
dispute	0.9700941246249447	0.8961706051984757	0.9432294910961696	0.5985261009791658	0.6747666832932272	0.1639425969051852
ciné	0.49712701622343886	0.9218809038334247	0.8410287531843664	0.8377320133277316	0.5666205578407286	0.8916630723533389
convivialité	0.9832056432179871	0.9568584457432548	0.9338579515872528	0.9247450453221268	0.37999702345641545	0.022929488113623695
protestation	0.9822792378993473	0.9758645829362964	0.9217246502249776	0.6496749991787634	0.31309398906999647	0.285652294990616
réunion	0.9871601140372742	0.9865171885692011	0.9560001463729552	0.2564391829464362	0.24709158082506033	0.7142679552170509
salle	0.9800026521557053	0.9042926831876006	0.15812141441094	0.8527703593804029	0.8435196024400285	0.3113336931287477
os	0.495490120591061	0.13063499029759446	0.37333181593101755	0.9446041739020352	0.9665035713689692	0.9720894846721396
dose	0.9840639236774678	0.6450735284773488	0.8534125544312322	0.27391018537756723	0.835843252351932	0.14636758036416572
requin	0.07173402802353367	0.16550421070736304	0.5219759322227431	0.9691521579901906	0.9486838494155353	0.9779994833910984
mile	0.40219247357612203	0.4659585105797328	0.4524216583736018	0.9240142748456379	0.9328024907664326	0.6361816778105254
étiquette	0.9819675893502934	0.8787301651918815	0.3984992760507817	0.1716737616416902	0.9467508289006665	0.3451371333210735
appui	0.6889723888401356	0.9790679895214547	0.9254217568236467	0.7912384103653493	0.3973325482400929	0.9336212748468431
moeurs	0.9636314251881315	0.9045702991902276	0.8972457471859254	0.051963288641301425	0.9652037743968778	0.2348262966822947
psychiatre	0.010814791152556815	0.9811988759074504	0.9704289782572065	0.9300610192640325	0.963962788833483	0.9770918802687613
distributeur	0.0600683459664424	0.9787613922386859	0.506056034369066	0.9063479371339852	0.7065058825192778	0.9878249267291368
repassage	0.15913745626919779	0.9732681938890502	0.32371034006719146	0.9747725934144174	0.2238095714577329	0.9662906956936296
tribune	0.9749553533929965	0.9142457977876252	0.7977189381016366	0.3451990423640999	0.8438301366339138	0.3055856769936833
revalorisation	0.9842564137187599	0.989509901941037	0.9780950431735308	0.11394294301783933	0.07461347957733516	0.45986358779268527
prothèse	0.9709925224245889	0.47987337301872646	0.16513660251381299	0.5216398248494817	0.6468374235037656	0.3453545784521908
résultat	0.6524061753637966	0.983124088294585	0.9667256446629188	0.10292066943292578	0.6248716615791786	0.9769910269787337
personnalisation	0.9804327583370028	0.9848999179418536	0.8619574511134961	0.2757003953813055	0.060638433381431475	0.10209845950241556
guichet	0.2647860649526442	0.9784100793298166	0.581819448727434	0.6163737412497649	0.6563471585625336	0.9789451562037406
représentation	0.9797965118107909	0.9705695726643069	0.9524001706823988	0.10478411830986445	0.4845353507442791	0.2215365758947964
colonisation	0.9809381346011822	0.884262394111306	0.9677156352810697	0.8527340937192714	0.10376416654857128	0.19350624793557283
variable	0.9805490628763058	0.9201720144962939	0.9315444497886727	0.027717071732768918	0.8956074645799543	0.5965449881589567
augmentation	0.9866333243470382	0.9820556140983158	0.9694415753770551	0.21718543653328556	0.09721591079821836	0.10943744221607682
simulation	0.9833671620689863	0.9753484764421515	0.8815536702783601	0.07689581252325373	0.13818343043943943	0.45821351949893585
escargot	0.24236926122350455	0.08871408726224847	0.5204491880513992	0.9663002672108241	0.9637842797811542	0.9806932184500631
sacrifice	0.6692544480404478	0.9020562802293517	0.8639218342966088	0.831816705285925	0.2997524974169862	0.8376785310181902
podium	0.5039296688963871	0.8380108880187128	0.4053093978325536	0.8644913263046685	0.4328745301367662	0.9429197039092451
